Pclass,Sex,Embarked,Age,Survived
3,male,S,22,0
1,female,C,38,1
3,female,S,26,1
1,female,S,35,1
3,male,S,35,0
3,male,Q,23.74,0
1,male,S,54,0
3,male,S,2,0
3,female,S,27,1
2,female,C,14,1
3,female,S,4,1
1,female,S,58,1
3,male,S,20,0
3,male,S,39,0
3,female,S,14,0
2,female,S,55,1
3,male,Q,2,0
2,male,S,23.74,1
3,female,S,31,0
3,female,C,23.74,1
2,male,S,35,0
2,male,S,34,1
3,female,Q,15,1
1,male,S,28,1
3,female,S,8,0
3,female,S,38,1
3,male,C,23.74,0
1,male,S,19,0
3,female,Q,23.74,1
3,male,S,23.74,0
1,male,C,40,0
1,female,C,23.74,1
3,female,Q,23.74,1
2,male,S,66,0
1,male,C,28,0
1,male,S,42,0
3,male,C,23.74,1
3,male,S,21,0
3,female,S,18,0
3,female,C,14,1
3,female,S,40,0
2,female,S,27,0
3,male,C,23.74,0
2,female,C,3,1
3,female,Q,19,1
3,male,S,23.74,0
3,male,Q,23.74,0
3,female,Q,23.74,1
3,male,C,23.74,0
3,female,S,18,0
3,male,S,7,0
3,male,S,21,0
1,female,C,49,1
2,female,S,29,1
1,male,C,65,0
1,male,S,23.74,1
2,female,S,21,1
3,male,C,28.5,0
2,female,S,5,1
3,male,S,11,0
3,male,C,22,0
1,male,S,45,0
3,male,S,4,0
1,male,C,23.74,0
3,male,C,23.74,1
2,female,S,29,1
3,male,S,19,0
3,female,S,17,1
3,male,S,26,0
2,male,S,32,0
3,female,S,16,0
2,male,S,21,0
3,male,C,26,0
3,male,S,32,1
3,male,S,25,0
3,male,S,23.74,0
3,male,S,23.74,0
2,male,S,0.83,1
3,female,S,30,1
3,male,S,22,0
3,male,S,29,1
3,female,Q,23.74,1
1,male,S,28,0
2,female,S,17,1
3,female,S,33,1
3,male,S,16,0
3,male,S,23.74,0
1,female,S,23,1
3,male,S,24,0
3,male,S,29,0
3,male,S,20,0
1,male,S,46,0
3,male,S,26,0
3,male,S,59,0
3,male,S,23.74,0
1,male,C,71,0
1,male,C,23,1
2,female,S,34,1
2,male,S,34,0
3,female,S,28,0
3,male,S,23.74,0
1,male,S,21,0
3,male,S,33,0
3,male,S,37,0
3,male,S,28,0
3,female,S,21,1
3,male,S,23.74,1
3,male,S,38,0
3,female,Q,23.74,1
1,male,S,47,0
3,female,C,14.5,0
3,male,S,22,0
3,female,S,20,0
3,female,C,17,0
3,male,S,21,0
3,male,Q,70.5,0
2,male,S,29,0
1,male,C,24,0
3,female,S,2,0
2,male,S,21,0
3,male,S,23.74,0
2,male,C,32.5,0
2,female,S,32.5,1
1,male,S,54,0
3,male,C,12,1
3,male,Q,23.74,0
3,male,S,24,1
3,female,C,23.74,1
3,male,S,45,0
3,male,C,33,0
3,male,S,20,0
3,female,S,47,0
2,female,S,29,1
2,male,S,25,0
2,male,C,23,0
1,female,S,19,1
1,male,S,37,0
3,male,S,16,0
1,male,C,24,0
3,female,C,23.74,0
3,female,S,22,1
3,female,S,24,1
3,male,Q,19,0
2,male,S,18,0
2,male,S,19,0
3,male,S,27,1
3,female,S,9,0
2,male,S,36.5,0
2,male,S,42,0
2,male,S,51,0
1,female,S,22,1
3,male,S,55.5,0
3,male,S,40.5,0
3,male,S,23.74,0
1,male,C,51,0
3,female,Q,16,1
3,male,S,30,0
3,male,S,23.74,0
3,male,S,23.74,0
3,male,S,44,0
2,female,S,40,1
3,male,S,26,0
3,male,S,17,0
3,male,S,1,0
3,male,S,9,1
1,female,S,23.74,1
3,female,S,45,0
1,male,S,23.74,0
3,male,S,28,0
1,male,S,61,0
3,male,Q,4,0
3,female,S,1,1
3,male,S,21,0
1,male,C,56,0
3,male,S,18,0
3,male,S,23.74,0
1,female,C,50,0
2,male,S,30,0
3,male,S,36,0
3,female,S,23.74,0
2,male,C,23.74,0
3,male,S,9,0
2,male,S,1,1
3,female,S,4,1
1,male,S,23.74,0
3,female,Q,23.74,1
1,male,S,45,1
3,male,Q,40,0
3,male,S,36,0
2,female,S,32,1
2,male,S,19,0
3,female,S,19,1
2,male,S,3,1
1,female,C,44,1
1,female,C,58,1
3,male,Q,23.74,0
3,male,S,42,0
3,female,Q,23.74,1
2,female,S,24,0
3,male,S,28,0
3,male,S,23.74,0
3,male,S,34,0
3,male,C,45.5,0
3,male,S,18,1
3,female,S,2,0
3,male,S,32,0
3,male,C,26,1
3,female,Q,16,1
1,male,C,40,1
3,male,S,24,0
2,female,S,35,1
3,male,S,22,0
2,male,S,30,0
3,male,Q,23.74,0
1,female,C,31,1
3,female,S,27,1
2,male,S,42,0
1,female,C,32,1
2,male,S,30,0
3,male,S,16,1
2,male,S,27,0
3,male,S,51,0
3,male,S,23.74,0
1,male,S,38,1
3,male,S,22,0
2,male,S,19,1
3,male,S,20.5,0
2,male,S,18,0
3,female,S,23.74,0
1,female,S,35,1
3,male,S,29,0
2,male,S,59,0
3,female,S,5,1
2,male,S,24,0
3,female,S,23.74,0
2,male,S,44,0
2,female,S,8,1
2,male,S,19,0
2,male,S,33,0
3,female,C,23.74,0
3,female,Q,23.74,1
2,male,S,29,0
3,male,S,22,0
3,male,C,30,0
1,male,Q,44,0
3,female,S,25,0
2,female,S,24,1
1,male,S,37,1
2,male,S,54,0
3,male,S,23.74,0
3,female,S,29,0
1,male,S,62,0
3,male,S,30,0
3,female,S,41,0
3,female,C,29,1
1,female,C,23.74,1
1,female,S,30,1
1,female,C,35,1
2,female,S,50,1
3,male,Q,23.74,0
3,male,S,3,1
1,male,S,52,0
1,male,S,40,0
3,female,Q,23.74,0
2,male,S,36,0
3,male,S,16,0
3,male,S,25,1
1,female,S,58,1
1,female,S,35,1
1,male,S,23.74,0
3,male,S,25,1
2,female,S,41,1
1,male,C,37,0
3,female,Q,23.74,1
1,female,S,63,1
3,female,S,45,0
2,male,S,23.74,0
3,male,Q,7,0
3,female,S,35,1
3,male,Q,65,0
3,male,S,28,0
3,male,S,16,0
3,male,S,19,1
1,male,S,23.74,0
3,male,C,33,0
3,male,S,30,1
3,male,S,22,0
2,male,S,42,1
3,female,Q,22,1
1,female,S,26,1
1,female,C,19,1
2,male,C,36,0
3,female,S,24,0
3,male,S,24,0
1,male,C,23.74,0
3,male,C,23.5,0
1,female,S,2,0
1,male,S,23.74,1
1,female,C,50,1
3,female,Q,23.74,1
3,male,Q,23.74,1
3,male,S,19,0
2,female,Q,23.74,1
3,male,S,23.74,0
1,male,S,0.92,1
1,female,C,23.74,1
1,female,C,17,1
2,male,C,30,0
1,female,C,30,1
1,female,C,24,1
1,female,C,18,1
2,female,S,26,0
3,male,S,28,0
2,male,S,43,0
3,female,S,26,1
2,female,S,24,1
2,male,S,54,0
1,female,S,31,1
1,female,C,40,1
3,male,S,22,0
3,male,S,27,0
2,female,Q,30,1
2,female,S,22,1
3,male,S,23.74,0
1,female,C,36,1
3,male,S,61,0
2,female,S,36,1
3,female,S,31,1
1,female,C,16,1
3,female,Q,23.74,1
1,male,S,45.5,0
1,male,S,38,0
3,male,S,16,0
1,female,S,23.74,1
3,male,S,23.74,0
1,male,S,29,0
1,female,C,41,1
3,male,S,45,1
1,male,S,45,0
2,male,S,2,1
1,female,S,24,1
2,male,S,28,0
2,male,S,25,0
2,male,S,36,0
2,female,S,24,1
2,female,S,40,1
3,female,S,23.74,1
3,male,S,3,1
3,male,S,42,0
3,male,S,23,0
1,male,S,23.74,0
3,male,C,15,0
3,male,S,25,0
3,male,C,23.74,0
3,male,S,28,0
1,female,S,22,1
2,female,S,38,0
3,female,Q,23.74,1
3,female,Q,23.74,1
3,male,S,40,0
2,male,C,29,0
3,female,C,45,0
3,male,S,35,0
3,male,Q,23.74,0
3,male,S,30,0
1,female,C,60,1
3,female,C,23.74,1
3,female,Q,23.74,1
1,female,C,24,1
1,male,C,25,1
3,male,S,18,0
3,male,S,19,0
1,male,C,22,0
3,female,S,3,0
1,female,C,23.74,1
3,female,S,22,1
1,male,C,27,0
3,male,C,20,0
3,male,S,19,0
1,female,C,42,1
3,female,C,1,1
3,male,S,32,0
1,female,S,35,1
3,male,S,23.74,0
2,male,S,18,0
3,male,S,1,0
2,female,S,36,1
3,male,Q,23.74,0
2,female,C,17,1
1,male,S,36,1
3,male,S,21,1
3,male,S,28,0
1,female,C,23,1
3,female,S,24,1
3,male,S,22,0
3,female,S,31,0
2,male,S,46,0
2,male,S,23,0
2,female,S,28,1
3,male,S,39,1
3,male,S,26,0
3,female,S,21,0
3,male,S,28,0
3,female,S,20,0
2,male,S,34,0
3,male,S,51,0
2,male,S,3,1
3,male,S,21,0
3,female,S,23.74,0
3,male,S,23.74,0
3,male,Q,23.74,0
1,female,Q,33,1
2,male,S,23.74,0
3,male,S,44,1
3,female,S,23.74,0
2,female,S,34,1
2,female,S,18,1
2,male,S,30,0
3,female,S,10,0
3,male,C,23.74,0
3,male,Q,21,0
3,male,S,29,0
3,female,S,28,0
3,male,S,18,0
3,male,S,23.74,0
2,female,S,28,1
2,female,S,19,1
3,male,Q,23.74,0
3,male,S,32,1
1,male,S,28,1
3,female,S,23.74,1
2,female,S,42,1
3,male,S,17,0
1,male,S,50,0
1,female,S,14,1
3,female,S,21,0
2,female,S,24,1
1,male,S,64,0
2,male,S,31,0
2,female,S,45,1
3,male,S,20,0
3,male,S,25,0
2,female,S,28,1
3,male,S,23.74,1
1,male,S,4,1
2,female,S,13,1
1,male,S,34,1
3,female,C,5,1
1,male,S,52,1
2,male,S,36,0
3,male,S,23.74,0
1,male,C,30,0
1,male,C,49,1
3,male,S,23.74,0
3,male,C,29,1
1,male,S,65,0
1,female,S,23.74,1
2,female,S,50,1
3,male,Q,23.74,0
1,male,S,48,1
3,male,S,34,0
1,male,S,47,0
2,male,S,48,0
3,male,S,23.74,0
3,male,S,38,0
2,male,S,23.74,0
1,male,S,56,0
3,male,Q,23.74,0
3,female,C,0.75,1
3,male,S,23.74,0
3,male,S,38,0
2,female,S,33,1
2,female,C,23,1
3,female,S,22,0
1,male,S,23.74,0
2,male,S,34,0
3,male,S,29,0
3,male,S,22,0
3,female,S,2,1
3,male,S,9,0
2,male,S,23.74,0
3,male,S,50,0
3,female,S,63,1
1,male,C,25,1
3,female,S,23.74,0
1,female,S,35,1
1,male,C,58,0
3,male,S,30,0
3,male,S,9,1
3,male,S,23.74,0
3,male,S,21,0
1,male,S,55,0
1,male,C,71,0
3,male,S,21,0
3,male,C,23.74,0
1,female,C,54,1
3,male,S,23.74,0
1,female,S,25,0
3,male,S,24,0
3,male,S,17,0
3,female,Q,21,0
3,female,Q,23.74,0
3,female,S,37,0
1,female,S,16,1
1,male,C,18,0
2,female,S,33,1
1,male,S,23.74,1
3,male,S,28,0
3,male,S,26,1
3,male,Q,29,1
3,male,S,23.74,0
1,male,S,36,1
1,female,C,54,1
3,male,S,24,0
1,male,S,47,0
2,female,S,34,1
3,male,Q,23.74,0
2,female,S,36,1
3,male,S,32,0
1,female,S,30,1
3,male,S,22,0
3,male,C,23.74,0
1,female,C,44,1
3,male,C,23.74,0
3,male,Q,40.5,0
2,female,S,50,1
1,male,S,23.74,0
3,male,S,39,0
2,male,S,23,0
2,female,S,2,1
3,male,C,23.74,0
3,male,C,17,0
3,female,C,23.74,1
3,female,S,30,0
2,female,S,7,1
1,male,S,45,0
1,female,C,30,1
3,male,S,23.74,0
1,female,C,22,1
1,female,S,36,1
3,female,S,9,0
3,female,S,11,0
2,male,S,32,1
1,male,C,50,0
1,male,S,64,0
2,female,S,19,1
2,male,C,23.74,1
3,male,S,33,0
2,male,S,8,1
1,male,C,17,1
2,male,S,27,0
3,male,Q,23.74,0
3,male,C,22,1
3,female,S,22,1
1,male,S,62,0
1,female,C,48,1
1,male,C,23.74,0
1,female,S,39,1
3,female,S,36,1
3,male,Q,23.74,0
3,male,S,40,0
2,male,S,28,0
3,male,S,23.74,0
3,female,S,23.74,0
3,male,S,24,0
3,male,S,19,0
3,female,S,29,0
3,male,C,23.74,0
3,male,S,32,1
2,male,S,62,1
1,female,S,53,1
1,male,S,36,1
3,female,Q,23.74,1
3,male,S,16,0
3,male,S,19,0
2,female,S,34,1
1,female,S,39,1
3,female,C,23.74,0
3,male,S,32,1
2,female,S,25,1
1,female,C,39,1
2,male,S,54,0
1,male,C,36,0
3,male,C,23.74,0
1,female,S,18,1
2,male,S,47,0
1,male,C,60,1
3,male,S,22,0
3,male,S,23.74,0
3,male,S,35,0
1,female,C,52,1
3,male,S,47,0
3,female,Q,23.74,0
2,male,S,37,0
3,male,S,36,0
2,female,S,23.74,1
3,male,S,49,0
3,male,C,23.74,0
1,male,C,49,1
2,female,S,24,1
3,male,S,23.74,0
1,male,S,23.74,0
3,male,S,44,0
1,male,C,35,1
3,male,S,36,0
3,male,S,30,0
1,male,S,27,1
2,female,C,22,1
1,female,S,40,1
3,female,S,39,0
3,male,S,23.74,0
3,female,Q,23.74,1
3,male,Q,23.74,0
3,male,S,35,0
2,female,S,24,1
3,male,S,34,0
3,female,S,26,0
2,female,S,4,1
2,male,S,26,0
3,male,C,27,0
1,male,S,42,1
3,male,C,20,1
3,male,S,21,0
3,male,S,21,0
1,male,S,61,0
2,male,Q,57,0
1,female,S,21,1
3,male,S,26,0
3,male,Q,23.74,0
1,male,S,80,1
3,male,S,51,0
1,male,C,32,1
1,male,S,23.74,0
3,female,S,9,0
2,female,S,28,1
3,male,S,32,0
2,male,S,31,0
3,female,S,41,0
3,male,S,23.74,0
3,male,S,20,0
1,female,C,24,1
3,female,S,2,0
3,male,S,23.74,1
3,female,C,0.75,1
1,male,C,48,1
3,male,S,19,0
1,male,C,56,1
3,male,S,23.74,0
3,female,S,23,1
3,male,S,23.74,0
2,female,S,18,1
3,male,S,21,0
3,female,Q,23.74,1
3,female,Q,18,0
2,male,S,24,0
3,male,S,23.74,0
3,female,Q,32,0
2,male,S,23,0
1,male,C,58,0
1,male,S,50,1
3,male,C,40,0
1,male,S,47,0
3,male,S,36,0
3,male,S,20,1
2,male,S,32,0
2,male,S,25,0
3,male,S,23.74,0
3,male,S,43,0
1,female,S,23.74,1
2,female,S,40,1
1,male,S,31,0
2,male,S,70,0
2,male,S,31,1
2,male,S,23.74,0
3,male,S,18,0
3,male,S,24.5,0
3,female,S,18,1
3,female,S,43,0
1,male,C,36,1
3,female,Q,23.74,0
1,male,C,27,1
3,male,S,20,0
3,male,S,14,0
2,male,S,60,0
2,male,C,25,0
3,male,S,14,0
3,male,S,19,0
3,male,S,18,0
1,female,S,15,1
1,male,S,31,1
3,female,C,4,1
3,male,S,23.74,1
3,male,C,25,0
1,male,S,60,0
2,male,S,52,0
3,male,S,44,0
3,female,Q,23.74,1
1,male,C,49,0
3,male,S,42,0
1,female,C,18,1
1,male,S,35,1
3,female,C,18,0
3,male,Q,25,0
3,male,S,26,0
2,male,S,39,0
2,female,S,45,1
1,male,S,42,1
1,female,S,22,1
3,male,C,23.74,1
1,female,C,24,1
1,male,S,23.74,0
1,male,S,48,1
3,male,S,29,0
2,male,S,52,0
3,male,S,19,0
1,female,C,38,1
2,female,S,27,1
3,male,Q,23.74,0
3,male,S,33,0
2,female,S,6,1
3,male,S,17,0
2,male,S,34,0
2,male,S,50,0
1,male,S,27,1
3,male,S,20,0
2,female,S,30,1
3,female,Q,23.74,1
2,male,S,25,0
3,female,S,25,0
1,female,S,29,1
3,male,C,11,0
2,male,S,23.74,0
2,male,S,23,0
2,male,S,23,0
3,male,S,28.5,0
3,female,S,48,0
1,male,C,35,1
3,male,S,23.74,0
3,male,S,23.74,0
1,male,S,23.74,1
1,male,S,36,0
1,female,C,21,1
3,male,S,24,0
3,male,S,31,1
1,male,S,70,0
3,male,S,16,0
2,female,S,30,1
1,male,S,19,0
3,male,Q,31,0
2,female,S,4,1
3,male,S,6,1
3,male,S,33,0
3,male,S,23,0
2,female,S,48,1
2,male,S,0.67,1
3,male,S,28,0
2,male,S,18,0
3,male,S,34,0
1,female,S,33,1
3,male,S,23.74,0
3,male,S,41,0
3,male,C,20,1
1,female,S,36,1
3,male,S,16,0
1,female,S,51,1
1,male,C,23.74,0
3,female,Q,30.5,0
3,male,Q,23.74,0
3,male,S,32,0
3,male,S,24,0
3,male,S,48,0
2,female,S,57,0
3,male,C,23.74,0
2,female,S,54,1
3,male,S,18,0
3,male,Q,23.74,0
3,female,S,5,1
3,male,Q,23.74,0
1,female,S,43,1
3,female,C,13,1
1,female,S,17,1
1,male,S,29,0
3,male,S,23.74,0
3,male,S,25,0
3,male,S,25,0
3,female,S,18,1
3,male,Q,8,0
3,male,S,1,1
1,male,C,46,0
3,male,Q,23.74,0
2,male,S,16,0
3,female,S,23.74,0
1,male,C,23.74,0
3,male,S,25,0
2,male,S,39,0
1,female,S,49,1
3,female,S,31,1
3,male,C,30,0
3,female,S,30,0
2,male,S,34,0
2,female,S,31,1
1,male,S,11,1
3,male,C,0.42,1
3,male,S,27,1
3,male,S,31,0
1,male,S,39,0
3,female,S,18,0
2,male,S,39,0
1,female,S,33,1
3,male,S,26,0
3,male,S,39,0
2,male,S,35,0
3,female,S,6,0
3,male,S,30.5,0
1,male,S,23.74,0
3,female,S,23,0
2,male,C,31,0
3,male,S,43,0
3,male,S,10,0
1,female,S,52,1
3,male,S,27,1
1,male,S,38,0
3,female,S,27,1
3,male,S,2,0
3,male,Q,23.74,0
3,male,S,23.74,0
2,male,C,1,1
3,male,Q,23.74,1
3,female,C,15,1
2,male,S,0.83,1
3,male,C,23.74,0
3,male,S,23,0
3,male,S,18,0
1,female,C,39,1
3,male,S,21,0
3,male,S,23.74,0
3,male,S,32,1
1,male,C,23.74,1
3,male,S,20,0
2,male,S,16,0
1,female,C,30,1
3,male,C,34.5,0
3,male,S,17,0
3,male,S,42,0
3,male,S,23.74,0
3,male,C,35,0
2,male,S,28,0
1,female,C,23.74,1
3,male,S,4,0
3,male,S,74,0
3,female,C,9,0
1,female,S,16,1
2,female,S,44,0
3,female,S,18,1
1,female,S,45,1
1,male,S,51,1
3,female,C,24,1
3,male,C,23.74,0
3,male,S,41,0
2,male,S,21,0
1,female,S,48,1
3,female,S,23.74,0
2,male,S,24,0
2,female,S,42,1
2,female,C,27,1
1,male,S,31,0
3,male,S,23.74,0
3,male,S,4,1
3,male,S,26,0
1,female,S,47,1
1,male,S,33,0
3,male,S,47,0
2,female,C,28,1
3,female,C,15,1
3,male,S,20,0
3,male,S,19,0
3,male,S,23.74,0
1,female,C,56,1
2,female,S,25,1
3,male,S,33,0
3,female,S,22,0
2,male,S,28,0
3,male,S,25,0
3,female,Q,39,0
2,male,S,27,0
1,female,S,19,1
3,female,S,23.74,0
1,male,C,26,1
3,male,Q,32,0
